57,58,59,60,61,62,63,64,65,66,67,68,69,70;79,80,81,82,83,84,85,86,87,88,89,90,91,92

54,55,56,57,58,59,60,61,62,63,64;57,58,59,60,61,62,63,64,65

56,57,58,59,60,61,62,63,64;71,72,73,74,75,76,77,78,79,80,81,82,83,84

20,25,36,45,89;25,36,77,88,98

85,86,87,88,89,90;59,60,61,62,63,64,65,66,67,68,69

77,78,79,80,81;68,69,70,71,72,73,74,75,76

89,90,91,92,93;73,74,75,76,77,78,79

9,10,11;33,34,35

80,81,82,83,84,85,86;54,55,56,57,58,59,60,61,62,63,64,65

61,62,63,64,65,66,67,68,69,70;91,92,93,94,95,96,97,98,99,100

58,59,60,61,62,63;51,52,53,54,55,56,57,58,59,60,61,62,63,64

9,10,11;11,12,13

61,62,63,64,65,66;78,79,80,81,82,83,84,85,86

62,63,64,65,66,67,68,69;96,97,98,99,100,101,102,103

89,90,91,92,93,94,95,96,97,98,99,100;50,51,52,53,54,55,56,57,58,59

66,67,68,69,70,71,72,73,74,75,76;84,85,86,87,88,89,90,91,92,93,94,95

1,2,3,4;3,4,5,6

72,73,74,75,76,77,78,79,80,81,82,83;65,66,67,68,69,70,71,72,73,74

99,100,101,102,103,104,105,106,107,108,109,110,111,112;99,100,101,102,103,104,105,106

95,96,97,98,99,100,101,102,103,104,105,106,107,108,109;55,56,57,58,59,60,61,62,63,64,65
